aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"18,700",20,3,2006, , ,79.87,15,703,1,N, 
 ,아미레스아파트,11110-24,0045,0005,2002, , , ,"25,000",14,3,2006, , ,84.59,1,45-5,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"14,500",11,3,2006, , ,64.66,2,703,1,N, 
 ,동대문,11110-30,0328,0017,1966, , , ,"14,000",10,3,2006, , ,28.8,5,328-17,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"15,400",7,3,2006, , ,64.66,14,703,1,N, 
 ,아남1,11110-25,0004,0000,1995, , , ,"47,000",11,3,2006, , ,84.9,12,4,1,N, 
 ,대아파크빌,11110-86,0254,0000,1998, , , ,"16,500",1,3,2006, , ,59.22,12,254,1,N, 
 ,롯데캐슬천지인,11110-152,0076,0000,2004, , , ,"68,000",3,3,2006, , ,112.54,13,76,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"42,500",26,4,2006, , ,84.92,10,82,1,N, 
 ,숭인모범103동,11110-137,0569,0004,2000, , , ,"13,650",29,4,2006, , ,59.74,4,569-4,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"39,000",5,4,2006, , ,84.92,13,82,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"43,900",8,4,2006, , ,84.92,15,82,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"42,000",19,4,2006, , ,84.92,14,82,1,N, 
 ,청호그린빌,11110-210,0040,0000,1999, , , ,"3,400",30,4,2006, , ,26.64,2,40,1,N, 
 ,청호그린빌,11110-210,0040,0000,1999, , , ,"8,600",30,4,2006, , ,56.4,5,40,1,N, 
 ,청호그린빌,11110-210,0040,0000,1999, , , ,"3,600",30,4,2006, , ,29.76,4,40,1,N, 
 ,청호그린빌,11110-210,0040,0000,1999, , , ,"3,400",30,4,2006, , ,26.64,4,40,1,N, 
 ,청호그린빌,11110-210,0040,0000,1999, , , ,"3,600",30,4,2006, , ,29.76,3,40,1,N, 
 ,청호그린빌,11110-210,0040,0000,1999, , , ,"3,400",30,4,2006, , ,26.64,3,40,1,N, 
 ,청호그린빌,11110-210,0040,0000,1999, , , ,"3,600",30,4,2006, , ,29.76,2,40,1,N, 
 ,청호그린빌,11110-210,0040,0000,1999, , , ,"8,400",30,4,2006, , ,56.4,1,40,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"27,350",11,4,2006, , ,60,14,82,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"41,300",6,4,2006, , ,84.92,6,82,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"39,000",27,4,2006, , ,84.9,11,232,1,N, 
