동,아파트이름,아파트일련번호,번지,부번,건축년도,매수구분,거래유형,거래금액,거래구분,부동산소속시군구명,전용면적,층수,지번,토지코드,토지임대여부,등록일자,거래날짜
 ,방산아파트,11110-212,5,89,1995, , ,"15,000", , ,32.53,2,5-89,1,N, ,2016-08-20
 ,대성아파트,11110-52,41,1,1971, , ,"11,000", , ,30.28,6,41-1,1,N, ,2016-08-10
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"60,000", , ,106.81,15,48-2,1,N, ,2016-08-16
 ,롯데캐슬천지인,11110-152,76,0,2004, , ,"64,500", , ,111.73,14,76,1,N, ,2016-08-12
 ,롯데미도파광화문빌딩,11110-12,145,0,1981, , ,"34,000", , ,65.82,7,145,1,N, ,2016-08-15
 ,종로센트레빌,11110-2224,2,1,2008, , ,"54,000", , ,84.92,5,2-1,1,N, ,2016-08-08
 ,경희궁의아침3단지,11110-116,72,0,2004, , ,"120,000", , ,150.48,16,72,1,N, ,2016-08-01
 ,삼전솔하임2차,11110-2322,296,19,2012, , ,"12,800", , ,15.0,9,296-19,1,N, ,2016-08-04
 ,아남1,11110-25,4,0,1995, , ,"65,000", , ,84.9,12,4,1,N, ,2016-08-05
 ,숭인한양LEEPS,11110-2366,1421,2,2014, , ,"11,500", , ,12.78,4,1421-2,1,N, ,2016-08-09
 ,창신쌍용2,11110-91,703,0,1993, , ,"27,900", , ,54.7,3,703,1,N, ,2016-08-13
 ,창신쌍용2,11110-91,703,0,1993, , ,"35,500", , ,79.87,14,703,1,N, ,2016-08-10
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"106,500", , ,160.85,5,9,1,N, ,2016-08-11
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"85,500", , ,114.931,13,60,1,N, ,2016-08-08
 ,종로청계힐스테이트,11110-2234,766,0,2009, , ,"54,500", , ,84.9478,14,766,1,N, ,2016-08-09
 ,종로청계힐스테이트,11110-2234,766,0,2009, , ,"53,500", , ,84.9478,14,766,1,N, ,2016-08-11
 ,종로중흥S클래스,11110-2339,202,3,2013, , ,"13,600", , ,17.811,14,202-3,1,N, ,2016-08-03
 ,창신쌍용2,11110-91,703,0,1993, , ,"31,850", , ,64.66,14,703,1,N, ,2016-08-08
 ,창신쌍용2,11110-91,703,0,1993, , ,"29,500", , ,54.7,9,703,1,N, ,2016-08-02
 ,창신쌍용2,11110-91,703,0,1993, , ,"35,800", , ,79.87,10,703,1,N, ,2016-08-03
 ,세종,11110-13,100,0,1983, , ,"43,500", , ,91.68,2,100,1,N, ,2016-09-28
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"102,500", , ,158.99,8,9,1,N, ,2016-09-24
 ,창신이수,11110-42,23,816,2003, , ,"40,500", , ,68.06,17,23-816,1,N, ,2016-09-30
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"88,000", , ,94.51,5,9,1,N, ,2016-09-29
 ,창신쌍용2,11110-91,703,0,1993, , ,"34,500", , ,79.87,15,703,1,N, ,2016-09-17
 ,현대,11110-90,82,0,2000, , ,"59,886", , ,84.92,12,82,1,N, ,2016-09-21
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"65,000", , ,84.858,2,60,1,N, ,2016-09-08
 ,MID그린(5동),11110-98,601,4,2002, , ,"24,500", , ,59.04,5,601-4,1,N, ,2016-09-22
 ,현대,11110-90,82,0,2000, , ,"66,700", , ,114.9,3,82,1,N, ,2016-09-13
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"125,000", , ,157.289,12,60,1,N, ,2016-09-23
 ,창신쌍용2,11110-91,703,0,1993, , ,"37,400", , ,79.87,9,703,1,N, ,2016-09-06
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"108,500", , ,131.44,12,9,1,N, ,2016-09-02
 ,두산,11110-34,232,0,1999, , ,"41,800", , ,59.95,16,232,1,N, ,2016-09-26
 ,창신이수,11110-42,23,816,2003, , ,"50,000", , ,84.5,7,23-816,1,N, ,2016-09-23
 ,현대,11110-90,82,0,2000, , ,"55,970", , ,84.92,13,82,1,N, ,2016-09-03
 ,현대,11110-90,82,0,2000, , ,"41,980", , ,60.0,8,82,1,N, ,2016-09-03
 ,현대,11110-90,82,0,2000, , ,"66,950", , ,114.9,9,82,1,N, ,2016-09-03
 ,현대,11110-90,82,0,2000, , ,"51,470", , ,84.92,5,82,1,N, ,2016-09-10
 ,현대,11110-90,82,0,2000, , ,"40,980", , ,60.0,10,82,1,N, ,2016-09-08
 ,롯데캐슬천지인,11110-152,76,0,2004, , ,"56,700", , ,84.95,18,76,1,N, ,2016-09-17
 ,창신쌍용2,11110-91,703,0,1993, , ,"34,500", , ,79.87,6,703,1,N, ,2016-09-07
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"81,000", , ,114.931,12,60,1,N, ,2016-09-19
 ,롯데캐슬천지인,11110-152,76,0,2004, , ,"58,000", , ,84.95,28,76,1,N, ,2016-09-30
 ,롯데캐슬천지인,11110-152,76,0,2004, , ,"65,900", , ,111.73,13,76,1,N, ,2016-09-10
 ,종로청계힐스테이트,11110-2234,766,0,2009, , ,"57,000", , ,84.9478,6,766,1,N, ,2016-09-21
 ,현대,11110-90,82,0,2000, , ,"53,990", , ,84.92,6,82,1,N, ,2016-09-12
 ,숭인한양LEEPS,11110-2366,1421,2,2014, , ,"12,000", , ,12.78,11,1421-2,1,N, ,2016-09-12
 ,아남1,11110-25,4,0,1995, , ,"64,800", , ,84.9,11,4,1,N, ,2016-09-07
 ,롯데낙천대,11110-71,72,0,2001, , ,"45,000", , ,84.82,1,72,1,N, ,2016-09-01
 ,경희궁파크팰리스,11110-107,95,0,2003, , ,"93,500", , ,103.77,15,95,1,N, ,2016-09-27
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"108,000", , ,159.01,1,9,1,N, ,2016-09-23
 ,종로센트레빌,11110-2224,2,1,2008, , ,"52,800", , ,84.92,8,2-1,1,N, ,2016-09-19
 ,종로센트레빌,11110-2224,2,1,2008, , ,"64,000", , ,114.67,11,2-1,1,N, ,2016-09-28
 ,운현신화타워,11110-16,30,6,1998, , ,"29,500", , ,47.61,15,30-6,1,N, ,2016-09-05
 ,창신쌍용1,11110-37,702,0,1992, , ,"38,000", , ,79.87,10,702,1,N, ,2016-09-08
 ,창신쌍용1,11110-37,702,0,1992, , ,"38,500", , ,79.87,10,702,1,N, ,2016-09-19
 ,두산,11110-34,232,0,1999, , ,"54,000", , ,84.9,11,232,1,N, ,2016-09-13
 ,창신쌍용1,11110-37,702,0,1992, , ,"38,800", , ,79.87,10,702,1,N, ,2016-09-27
 ,창신쌍용2,11110-91,703,0,1993, , ,"36,800", , ,79.87,5,703,1,N, ,2016-09-20
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"55,500", , ,59.993,6,60,1,N, ,2016-09-23
 ,종로청계힐스테이트,11110-2234,766,0,2009, , ,"46,200", , ,59.9426,9,766,1,N, ,2016-09-29
 ,아르젠종로,11110-2411,163,3,2015, , ,"25,003", , ,18.02,12,163-3,1,N, ,2016-09-09
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"115,000", , ,160.85,12,9,1,N, ,2016-09-22
 ,창신쌍용2,11110-91,703,0,1993, , ,"30,800", , ,64.66,4,703,1,N, ,2016-09-29
 ,대아파크빌,11110-86,254,0,1998, , ,"31,650", , ,59.22,6,254,1,N, ,2016-09-24
 ,종로센트레빌,11110-2224,2,1,2008, , ,"44,900", , ,59.92,5,2-1,1,N, ,2016-09-01
 ,대성아파트,11110-52,41,1,1971, , ,"32,000", , ,94.94,8,41-1,1,N, ,2016-09-28
 ,아남1,11110-25,4,0,1995, , ,"64,500", , ,84.9,16,4,1,N, ,2016-09-10
 ,오성,11110-49,888,0,1997, , ,"18,400", , ,56.96,2,888,1,N, ,2016-09-05
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"26,800", , ,46.64,5,55,1,N, ,2016-09-02
 ,삼전솔하임2차,11110-2322,296,19,2012, , ,"13,200", , ,15.0,7,296-19,1,N, ,2016-09-20
 ,창신쌍용2,11110-91,703,0,1993, , ,"31,500", , ,64.66,4,703,1,N, ,2016-09-27
 ,종로동광모닝스카이,11110-2343,1421,1,2013, , ,"12,700", , ,15.855,15,1421-1,1,N, ,2016-09-27
 ,대아파크빌,11110-86,254,0,1998, , ,"30,800", , ,59.22,11,254,1,N, ,2016-09-19
 ,경희궁의아침2단지,11110-115,71,0,2004, , ,"138,000", , ,174.55,4,71,1,N, ,2016-09-20
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"60,000", , ,84.858,1,60,1,N, ,2016-09-03
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"65,500", , ,84.858,4,60,1,N, ,2016-09-01
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"66,700", , ,84.858,14,60,1,N, ,2016-09-12
 ,삼전솔하임4차,11110-2368,318,2,2014, , ,"13,000", , ,15.09,11,318-2,1,N, ,2016-09-03
 ,동대문맨션,11110-31,578,5,1973, , ,"32,700", , ,83.83,6,578-5,1,N, ,2016-09-06
 ,대아파크빌,11110-86,254,0,1998, , ,"28,000", , ,59.22,3,254,1,N, ,2016-09-13
 ,종로중흥S클래스,11110-2339,202,3,2013, , ,"13,800", , ,19.466,7,202-3,1,N, ,2016-09-21
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"62,000", , ,98.39,9,48-2,1,N, ,2016-09-13
 ,종로아인스빌,11110-2344,1392,1,2013, , ,"12,100", , ,12.15,15,1392-1,1,N, ,2016-09-05
 ,창신쌍용2,11110-91,703,0,1993, , ,"35,000", , ,79.87,3,703,1,N, ,2016-09-20
 ,아남1,11110-25,4,0,1995, , ,"62,700", , ,84.9,18,4,1,N, ,2016-09-01
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"64,000", , ,84.858,7,60,1,N, ,2016-09-02
 ,동대문,11110-30,328,17,1966, , ,"24,300", , ,28.8,4,328-17,1,N, ,2016-09-07
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"71,000", , ,114.931,1,60,1,N, ,2016-09-10
 ,아남1,11110-25,4,0,1995, , ,"60,000", , ,84.9,15,4,1,N, ,2016-09-02
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"90,000", , ,108.07,9,9,1,N, ,2016-09-09
 ,종로센트레빌,11110-2224,2,1,2008, , ,"41,500", , ,59.92,1,2-1,1,N, ,2016-09-06
 ,종로센트레빌,11110-2224,2,1,2008, , ,"59,500", , ,114.67,4,2-1,1,N, ,2016-09-05
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"55,000", , ,98.39,15,48-2,1,N, ,2016-09-02
 ,창신쌍용2,11110-91,703,0,1993, , ,"47,000", , ,106.62,7,703,1,N, ,2016-09-02
 ,종로센트레빌,11110-2224,2,1,2008, , ,"50,000", , ,84.92,1,2-1,1,N, ,2016-09-07
 ,동대문,11110-30,328,17,1966, , ,"25,000", , ,28.8,2,328-17,1,N, ,2016-09-04
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"27,300", , ,46.64,5,55,1,N, ,2016-09-06
 ,경희궁의아침3단지,11110-116,72,0,2004, , ,"121,000", , ,150.48,12,72,1,N, ,2016-09-05
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"71,000", , ,84.858,9,60,1,N, ,2016-09-03
 ,현대,11110-90,82,0,2000, , ,"65,450", , ,114.9,19,82,1,N, ,2016-09-02
 ,창신쌍용2,11110-91,703,0,1993, , ,"32,300", , ,64.66,5,703,1,N, ,2016-10-22
 ,종로센트레빌,11110-2224,2,1,2008, , ,"53,000", , ,84.92,3,2-1,1,N, ,2016-10-20
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"59,000", , ,92.81,14,48-2,1,N, ,2016-10-14
 ,엘리시아,11110-2261,66,1,2009, , ,"175,942", , ,213.07,4,66-1,1,N, ,2016-10-22
 ,엘리시아,11110-2261,66,1,2009, , ,"159,589", , ,200.19,4,66-1,1,N, ,2016-10-22
 ,엘리시아,11110-2261,66,1,2009, , ,"152,416", , ,206.22,2,66-1,1,N, ,2016-10-22
 ,동대문,11110-30,328,17,1966, , ,"25,500", , ,28.8,5,328-17,1,N, ,2016-10-15
 ,종로센트레빌,11110-2224,2,1,2008, , ,"55,000", , ,84.92,12,2-1,1,N, ,2016-10-28
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"55,000", , ,59.993,2,60,1,N, ,2016-10-22
 ,숭인모범103동,11110-137,569,4,2000, , ,"25,000", , ,59.74,5,569-4,1,N, ,2016-10-20
 ,아남1,11110-25,4,0,1995, , ,"65,500", , ,84.9,17,4,1,N, ,2016-10-24
 ,아남1,11110-25,4,0,1995, , ,"66,500", , ,84.9,10,4,1,N, ,2016-10-20
 ,종로청계힐스테이트,11110-2234,766,0,2009, , ,"52,500", , ,84.9478,3,766,1,N, ,2016-10-31
 ,아남1,11110-25,4,0,1995, , ,"60,000", , ,84.9,2,4,1,N, ,2016-10-19
 ,현대,11110-90,82,0,2000, , ,"64,950", , ,114.9,6,82,1,N, ,2016-10-10
 ,송림아마레스아파트,11110-127,2,12,2003, , ,"50,800", , ,84.62,4,2-12,1,N, ,2016-10-28
 ,창신쌍용1,11110-37,702,0,1992, , ,"38,500", , ,79.87,4,702,1,N, ,2016-10-25
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"116,000", , ,159.01,8,9,1,N, ,2016-10-07
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"109,000", , ,146.92,4,9,1,N, ,2016-10-07
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"84,500", , ,94.51,3,9,1,N, ,2016-10-27
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"63,000", , ,84.858,2,60,1,N, ,2016-10-24
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"60,000", , ,84.858,1,60,1,N, ,2016-10-17
 ,현대,11110-90,82,0,2000, , ,"69,990", , ,114.9,19,82,1,N, ,2016-10-14
 ,종로청계힐스테이트,11110-2234,766,0,2009, , ,"56,750", , ,84.9478,11,766,1,N, ,2016-10-21
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"136,500", , ,160.85,8,9,1,N, ,2016-10-10
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"102,000", , ,131.44,1,9,1,N, ,2016-10-18
 ,두산,11110-34,232,0,1999, , ,"42,700", , ,59.95,2,232,1,N, ,2016-10-24
 ,두산,11110-34,232,0,1999, , ,"54,500", , ,84.9,20,232,1,N, ,2016-10-04
 ,창신쌍용1,11110-37,702,0,1992, , ,"39,900", , ,79.87,14,702,1,N, ,2016-10-25
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"53,000", , ,84.7,17,48-2,1,N, ,2016-10-17
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"69,000", , ,84.858,13,60,1,N, ,2016-10-25
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"110,000", , ,160.85,8,9,1,N, ,2016-10-01
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"70,000", , ,84.858,13,60,1,N, ,2016-10-23
 ,종로유케이201,11110-2334,201,11,2013, , ,"11,400", , ,12.01,11,201-11,1,N, ,2016-10-05
 ,창신쌍용1,11110-37,702,0,1992, , ,"38,000", , ,79.87,7,702,1,N, ,2016-10-06
 ,창신쌍용2,11110-91,703,0,1993, , ,"45,900", , ,106.62,5,703,1,N, ,2016-10-13
 ,CS타워,11110-2291,62,2,2011, , ,"18,500", , ,22.17,10,62-2,1,N, ,2016-10-10
 ,갑을아파트,11110-68,595,0,1997, , ,"15,300", , ,30.46,8,595,1,N, ,2016-10-27
 ,두산,11110-34,232,0,1999, , ,"52,000", , ,84.9,12,232,1,N, ,2016-10-07
 ,인왕산2차아이파크,11110-2417,88,0,2015, , ,"64,000", , ,84.748,7,88,1,N, ,2016-10-18
 ,두산,11110-34,232,0,1999, , ,"43,800", , ,59.95,12,232,1,N, ,2016-10-03
 ,아남1,11110-25,4,0,1995, , ,"66,500", , ,84.9,12,4,1,N, ,2016-10-26
 ,롯데캐슬천지인,11110-152,76,0,2004, , ,"55,500", , ,84.95,20,76,1,N, ,2016-10-11
 ,탑스빌,11110-105,178,76,2003, , ,"38,500", , ,82.94,3,178-76,1,N, ,2016-10-20
 ,현대,11110-90,82,0,2000, , ,"58,000", , ,114.9,1,82,1,N, ,2016-10-26
 ,대성스카이렉스,11110-2223,110,0,2008, , ,"85,000", , ,137.55,8,110,1,N, ,2016-10-18
 ,종로유케이201,11110-2334,201,11,2013, , ,"11,400", , ,12.01,11,201-11,1,N, ,2016-10-05
 ,건양하늘터,11110-2128,23,0,2006, , ,"46,950", , ,84.78,6,23,1,N, ,2016-10-27
 ,두산,11110-34,232,0,1999, , ,"42,000", , ,59.95,5,232,1,N, ,2016-10-04
 ,창신쌍용2,11110-91,703,0,1993, , ,"31,000", , ,64.66,7,703,1,N, ,2016-10-01
 ,종로중흥S클래스,11110-2339,202,3,2013, , ,"13,600", , ,17.811,9,202-3,1,N, ,2016-10-01
 ,창신쌍용2,11110-91,703,0,1993, , ,"31,500", , ,64.66,6,703,1,N, ,2016-10-15
 ,동대문,11110-30,328,17,1966, , ,"24,000", , ,28.8,1,328-17,1,N, ,2016-10-22
 ,창신쌍용2,11110-91,703,0,1993, , ,"30,900", , ,54.7,13,703,1,N, ,2016-10-26
 ,창신쌍용1,11110-37,702,0,1992, , ,"41,500", , ,79.87,6,702,1,N, ,2016-10-24
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"54,000", , ,92.81,17,48-2,1,N, ,2016-10-31
 ,경희궁의아침4단지,11110-117,73,0,2004, , ,"130,000", , ,145.96,16,73,1,N, ,2016-10-25
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"48,750", , ,84.7,14,48-2,1,N, ,2016-10-01
 ,창신쌍용2,11110-91,703,0,1993, , ,"31,000", , ,54.7,10,703,1,N, ,2016-10-28
 ,경희궁파크팰리스,11110-107,95,0,2003, , ,"127,000", , ,146.33,6,95,1,N, ,2016-10-25
 ,인왕산2차아이파크,11110-2417,88,0,2015, , ,"67,000", , ,84.2395,14,88,1,N, ,2016-10-05
 ,현대,11110-90,82,0,2000, , ,"56,790", , ,84.92,3,82,1,N, ,2016-10-03
 ,MID그린(1동),11110-94,601,0,2002, , ,"24,800", , ,59.55,7,601,1,N, ,2016-10-17
 ,삼전솔하임4차,11110-2368,318,2,2014, , ,"13,500", , ,15.09,11,318-2,1,N, ,2016-10-07
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"68,800", , ,84.858,7,60,1,N, ,2016-10-05
 ,하림빌라트,11110-131,473,0,1998, , ,"24,500", , ,47.63,2,473,1,N, ,2016-10-21
 ,창신쌍용2,11110-91,703,0,1993, , ,"36,000", , ,79.87,5,703,1,N, ,2016-10-03
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"69,500", , ,84.858,6,60,1,N, ,2016-10-01
 ,창신쌍용2,11110-91,703,0,1993, , ,"46,000", , ,115.53,4,703,1,N, ,2016-10-18
 ,창신쌍용2,11110-91,703,0,1993, , ,"36,500", , ,79.87,8,703,1,N, ,2016-10-17
 ,광화문스페이스본(106동),11110-2204,9,1,2008, , ,"102,000", , ,144.52,10,9-1,1,N, ,2016-10-12
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"64,900", , ,84.858,1,60,1,N, ,2016-10-04
 ,종로센트레빌,11110-2224,2,1,2008, , ,"51,500", , ,84.92,2,2-1,1,N, ,2016-10-07
 ,창신쌍용2,11110-91,703,0,1993, , ,"37,000", , ,79.87,14,703,1,N, ,2016-10-04
 ,창신쌍용2,11110-91,703,0,1993, , ,"29,500", , ,54.7,7,703,1,N, ,2016-10-04
 ,삼전솔하임4차,11110-2368,318,2,2014, , ,"13,000", , ,15.09,14,318-2,1,N, ,2016-10-06
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"84,000", , ,94.51,7,9,1,N, ,2016-10-01
 ,창신쌍용1,11110-37,702,0,1992, , ,"44,900", , ,106.62,4,702,1,N, ,2016-10-04
 ,현대,11110-90,82,0,2000, , ,"57,970", , ,84.92,10,82,1,N, ,2016-11-29
 ,현대,11110-90,82,0,2000, , ,"68,950", , ,114.9,6,82,1,N, ,2016-11-29
 ,현대,11110-90,82,0,2000, , ,"67,950", , ,114.9,19,82,1,N, ,2016-11-28
 ,동성아파트(2동),11110-123,4,157,1999, , ,"25,000", , ,59.58,4,4-157,1,N, ,2016-11-26
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"107,000", , ,126.34,11,9,1,N, ,2016-11-21
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"57,500", , ,59.993,12,60,1,N, ,2016-11-25
 ,종로청계힐스테이트,11110-2234,766,0,2009, , ,"56,500", , ,84.9478,5,766,1,N, ,2016-11-24
 ,삼성,11110-73,596,0,1998, , ,"34,000", , ,59.97,11,596,1,N, ,2016-11-30
 ,두산,11110-34,232,0,1999, , ,"44,000", , ,59.95,13,232,1,N, ,2016-11-30
 ,창신쌍용2,11110-91,703,0,1993, , ,"36,700", , ,79.87,12,703,1,N, ,2016-11-05
 ,아남1,11110-25,4,0,1995, , ,"67,500", , ,84.9,18,4,1,N, ,2016-11-25
 ,아남1,11110-25,4,0,1995, , ,"65,000", , ,84.9,13,4,1,N, ,2016-11-10
 ,대아파크빌,11110-86,254,0,1998, , ,"41,800", , ,84.84,11,254,1,N, ,2016-11-18
 ,동대문,11110-30,328,17,1966, , ,"27,000", , ,28.8,4,328-17,1,N, ,2016-11-20
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"79,000", , ,95.88,4,9,1,N, ,2016-11-07
 ,삼전솔하임2차,11110-2322,296,19,2012, , ,"13,500", , ,16.67,7,296-19,1,N, ,2016-11-05
 ,(1-102),11110-215,1,102,1997, , ,"19,000", , ,70.05,1,1-102,1,N, ,2016-11-28
 ,아남1,11110-25,4,0,1995, , ,"64,300", , ,84.9,11,4,1,N, ,2016-11-07
 ,동대문,11110-30,328,17,1966, , ,"26,500", , ,28.8,1,328-17,1,N, ,2016-11-05
 ,현대,11110-90,82,0,2000, , ,"40,450", , ,60.0,15,82,1,N, ,2016-11-28
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"87,000", , ,114.931,15,60,1,N, ,2016-11-17
 ,종로센트레빌,11110-2224,2,1,2008, , ,"46,300", , ,59.92,11,2-1,1,N, ,2016-11-09
 ,롯데낙천대,11110-71,72,0,2001, , ,"68,000", , ,110.53,8,72,1,N, ,2016-11-10
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"105,000", , ,146.92,9,9,1,N, ,2016-11-25
 ,창신쌍용2,11110-91,703,0,1993, , ,"32,500", , ,64.66,5,703,1,N, ,2016-11-22
 ,삼전솔하임4차,11110-2368,318,2,2014, , ,"13,000", , ,15.09,16,318-2,1,N, ,2016-11-29
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"129,500", , ,159.01,13,9,1,N, ,2016-11-29
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"88,000", , ,114.931,14,60,1,N, ,2016-11-26
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"85,500", , ,114.931,9,60,1,N, ,2016-11-05
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"65,000", , ,98.39,12,48-2,1,N, ,2016-11-29
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"53,500", , ,84.98,14,48-2,1,N, ,2016-11-11
 ,삼전솔하임4차,11110-2368,318,2,2014, , ,"13,800", , ,15.09,15,318-2,1,N, ,2016-11-23
 ,현대,11110-90,82,0,2000, , ,"66,950", , ,114.9,8,82,1,N, ,2016-11-12
 ,롯데낙천대,11110-71,72,0,2001, , ,"66,500", , ,110.53,14,72,1,N, ,2016-11-07
 ,경희궁파크팰리스,11110-107,95,0,2003, , ,"129,000", , ,147.62,16,95,1,N, ,2016-11-03
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"115,000", , ,151.81,12,9,1,N, ,2016-11-01
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"92,000", , ,94.51,10,9,1,N, ,2016-11-09
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"86,000", , ,94.51,10,9,1,N, ,2016-11-13
 ,현대뜨레비앙,11110-102,55,0,2003, , ,"28,000", , ,46.64,3,55,1,N, ,2016-11-01
 ,킹스매너,11110-118,110,15,2004, , ,"135,000", , ,194.43,5,110-15,1,N, ,2016-11-18
 ,경희궁의아침3단지,11110-116,72,0,2004, , ,"126,000", , ,150.48,9,72,1,N, ,2016-11-30
 ,창신쌍용2,11110-91,703,0,1993, , ,"29,500", , ,54.7,10,703,1,N, ,2016-11-26
 ,종로유케이201,11110-2334,201,11,2013, , ,"11,500", , ,12.16,13,201-11,1,N, ,2016-11-26
 ,숭인상가,11110-48,204,11,1979, , ,"35,000", , ,78.75,6,204-11,1,N, ,2016-11-29
 ,삼전솔하임2차,11110-2322,296,19,2012, , ,"12,500", , ,16.67,4,296-19,1,N, ,2016-11-14
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"54,700", , ,59.993,4,60,1,N, ,2016-11-15
 ,종로센트레빌,11110-2224,2,1,2008, , ,"53,600", , ,84.92,3,2-1,1,N, ,2016-11-15
 ,창신쌍용1,11110-37,702,0,1992, , ,"39,900", , ,79.87,12,702,1,N, ,2016-11-16
 ,아남1,11110-25,4,0,1995, , ,"65,000", , ,84.9,4,4,1,N, ,2016-11-04
 ,인왕산아이파크,11110-2212,60,0,2008, , ,"69,500", , ,84.858,4,60,1,N, ,2016-11-05
 ,무악다온채,11110-2301,66,1,2011, , ,"49,500", , ,84.82,4,66-1,1,N, ,2016-11-22
 ,두산,11110-34,232,0,1999, , ,"42,000", , ,59.95,15,232,1,N, ,2016-11-04
 ,효성쥬얼리시티,11110-2155,48,2,2006, , ,"54,300", , ,84.7,11,48-2,1,N, ,2016-11-16
 ,종로유케이201,11110-2334,201,11,2013, , ,"11,000", , ,12.08,6,201-11,1,N, ,2016-11-21
 ,창신쌍용2,11110-91,703,0,1993, , ,"32,800", , ,64.66,3,703,1,N, ,2016-11-17
 ,창신쌍용1,11110-37,702,0,1992, , ,"37,800", , ,79.87,8,702,1,N, ,2016-11-01
 ,창신쌍용2,11110-91,703,0,1993, , ,"32,000", , ,54.7,9,703,1,N, ,2016-11-04
 ,송림아마레스아파트,11110-121,9,1,2004, , ,"35,600", , ,84.42,5,9-1,1,N, ,2016-11-12
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"103,500", , ,136.4,7,9,1,N, ,2016-11-10
 ,현대,11110-90,82,0,2000, , ,"33,990", , ,60.0,2,82,1,N, ,2016-11-08
 ,건양하늘터,11110-2128,23,0,2006, , ,"55,000", , ,84.89,3,23,1,N, ,2016-11-01
 ,삼성,11110-73,596,0,1998, , ,"30,000", , ,59.97,6,596,1,N, ,2016-11-01
 ,광화문스페이스본(101동~105동),11110-2203,9,0,2008, , ,"88,000", , ,94.51,12,9,1,N, ,2016-11-07
 ,렉스팰리스,11110-2071,95,1,2005, , ,"56,500", , ,135.33,3,95-1,1,N, ,2016-11-01
 ,탑스빌,11110-105,178,76,2003, , ,"29,500", , ,55.04,6,178-76,1,N, ,2016-11-01
 ,경희궁의아침4단지,11110-117,73,0,2004, , ,"125,000", , ,150.77,5,73,1,N, ,2016-12-30
 ,현대,11110-90,82,0,2000, , ,"59,990", , ,84.92,14,82,1,N, ,2016-12-20
