동,아파트이름,아파트일련번호,번지,부번,건축년도,매수구분,거래유형,거래금액,거래구분,부동산소속시군구명,전용면적,층수,지번,토지코드,토지임대여부,등록일자,거래날짜
 ,창신쌍용2,11110-91,703,0,1993, , ,"13,000", , ,54.7,6,703,1,N, ,2006-03-23
 ,창신쌍용1,11110-37,702,0,1992, , ,"23,000", , ,79.87,6,702,1,N, ,2006-03-21
 ,창신쌍용2,11110-91,703,0,1993, , ,"31,500", , ,115.53,5,703,1,N, ,2006-03-24
 ,창신쌍용2,11110-91,703,0,1993, , ,"16,600", , ,64.66,8,703,1,N, ,2006-03-16
 ,창신쌍용2,11110-91,703,0,1993, , ,"20,600", , ,79.87,6,703,1,N, ,2006-03-07
 ,구암하이빌,11110-89,105,22,2002, , ,"14,550", , ,75.89,3,105-22,1,N, ,2006-03-10
 ,창신쌍용1,11110-37,702,0,1992, , ,"25,500", , ,79.87,10,702,1,N, ,2006-03-25
 ,효자,11110-204,5,1,1999, , ,"7,750", , ,56.53,4,5-1,1,N, ,2006-03-11
 ,크래스빌,11110-101,46,1,2003, , ,"55,000", , ,175.81,3,46-1,1,N, ,2006-03-10
 ,두산,11110-34,232,0,1999, , ,"23,500", , ,59.95,8,232,1,N, ,2006-03-25
 ,건양하늘터,11110-2128,23,0,2006, , ,"35,000", , ,84.78,2,23,1,N, ,2006-03-16
 ,건양하늘터,11110-2128,23,0,2006, , ,"34,040", , ,84.78,2,23,1,N, ,2006-03-10
 ,건양하늘터,11110-2128,23,0,2006, , ,"32,788", , ,82.63,1,23,1,N, ,2006-03-06
 ,삼성,11110-73,596,0,1998, , ,"25,800", , ,84.93,12,596,1,N, ,2006-03-05
 ,현대,11110-90,82,0,2000, , ,"35,100", , ,84.92,9,82,1,N, ,2006-03-18
 ,경희궁파크팰리스,11110-107,95,0,2003, , ,"73,000", , ,103.77,8,95,1,N, ,2006-03-03
 ,삼성,11110-73,596,0,1998, , ,"26,500", , ,84.93,14,596,1,N, ,2006-03-04
 ,창신쌍용1,11110-37,702,0,1992, , ,"22,500", , ,79.87,2,702,1,N, ,2006-03-17
 ,창신이수,11110-42,23,816,2003, , ,"21,500", , ,68.06,3,23-816,1,N, ,2006-03-06
 ,창신쌍용1,11110-37,702,0,1992, , ,"21,600", , ,79.87,8,702,1,N, ,2006-03-25
 ,숭인상가,11110-48,204,11,1979, , ,"20,000", , ,80.85,8,204-11,1,N, ,2006-03-31
 ,MID그린(3동),11110-96,601,2,2002, , ,"15,000", , ,58.88,5,601-2,1,N, ,2006-03-04
 ,낙원,11110-17,288,0,1968, , ,"14,000", , ,73.59,13,288,1,N, ,2006-03-03
 ,창신쌍용2,11110-91,703,0,1993, , ,"29,200", , ,115.53,14,703,1,N, ,2006-03-01
 ,세종로대우,11110-14,167,0,1994, , ,"47,000", , ,100.44,15,167,1,N, ,2006-03-23
 ,경희궁파크팰리스,11110-107,95,0,2003, , ,"73,500", , ,117.26,5,95,1,N, ,2006-03-06
 ,창신쌍용2,11110-91,703,0,1993, , ,"18,700", , ,79.87,15,703,1,N, ,2006-03-20
 ,아미레스아파트,11110-24,45,5,2002, , ,"25,000", , ,84.59,1,45-5,1,N, ,2006-03-14
 ,창신쌍용2,11110-91,703,0,1993, , ,"14,500", , ,64.66,2,703,1,N, ,2006-03-11
 ,동대문,11110-30,328,17,1966, , ,"14,000", , ,28.8,5,328-17,1,N, ,2006-03-10
 ,창신쌍용2,11110-91,703,0,1993, , ,"15,400", , ,64.66,14,703,1,N, ,2006-03-07
 ,아남1,11110-25,4,0,1995, , ,"47,000", , ,84.9,12,4,1,N, ,2006-03-11
 ,대아파크빌,11110-86,254,0,1998, , ,"16,500", , ,59.22,12,254,1,N, ,2006-03-01
 ,롯데캐슬천지인,11110-152,76,0,2004, , ,"68,000", , ,112.54,13,76,1,N, ,2006-03-03
 ,현대,11110-90,82,0,2000, , ,"42,500", , ,84.92,10,82,1,N, ,2006-04-26
 ,숭인모범103동,11110-137,569,4,2000, , ,"13,650", , ,59.74,4,569-4,1,N, ,2006-04-29
 ,현대,11110-90,82,0,2000, , ,"39,000", , ,84.92,13,82,1,N, ,2006-04-05
 ,현대,11110-90,82,0,2000, , ,"43,900", , ,84.92,15,82,1,N, ,2006-04-08
 ,현대,11110-90,82,0,2000, , ,"42,000", , ,84.92,14,82,1,N, ,2006-04-19
 ,청호그린빌,11110-210,40,0,1999, , ,"3,400", , ,26.64,2,40,1,N, ,2006-04-30
 ,청호그린빌,11110-210,40,0,1999, , ,"8,600", , ,56.4,5,40,1,N, ,2006-04-30
 ,청호그린빌,11110-210,40,0,1999, , ,"3,600", , ,29.76,4,40,1,N, ,2006-04-30
 ,청호그린빌,11110-210,40,0,1999, , ,"3,400", , ,26.64,4,40,1,N, ,2006-04-30
